"Survey Year","Trip identifier","Set number","ITIS-TSN","Species code","Scientific name","English common name","French common name","LSID","Catch weight (kg)","Catch count (pieces)"
2006,"62066","2","166707","396","SEBASTES ALUTUS","PACIFIC OCEAN PERCH","SÉBASTE À LONGUE MÂCHOIRE","urn:lsid:marinespecies.org:taxname:254573","783.97",
2006,"62066","2","52430","3J1","HEXACORALLIA","HEXACORALLIA",,"urn:lsid:marinespecies.org:taxname:1340",".05","1"
2006,"62066","2","166710","401","SEBASTES BABCOCKI","REDBANDED ROCKFISH","SÉBASTE À BANDES ROUGES","urn:lsid:marinespecies.org:taxname:274775","18.44",
2006,"62066","2","166712","403","SEBASTES BOREALIS","SHORTRAKER ROCKFISH","SÉBASTE BORÉAL","urn:lsid:marinespecies.org:taxname:274777","6.22","1"
2006,"62066","2","166711","405","SEBASTES BREVISPINIS","SILVERGRAY ROCKFISH","SÉBASTE ARGENTÉ","urn:lsid:marinespecies.org:taxname:274778","108.57","58"
2006,"62066","2","166719","417","SEBASTES ENTOMELAS","WIDOW ROCKFISH","VEUVE","urn:lsid:marinespecies.org:taxname:274791","24.82",
2006,"62066","2","166733","435","SEBASTES PAUCISPINIS","BOCACCIO","BOCACCIO","urn:lsid:marinespecies.org:taxname:274833","10.82","2"
2006,"62066","2","166744","450","SEBASTES ZACENTRUS","SHARPCHIN ROCKFISH","SÉBASTE À MENTON POINTU","urn:lsid:marinespecies.org:taxname:274869","6.62",
2006,"62066","2","166783","451","SEBASTOLOBUS ALASCANUS","SHORTSPINE THORNYHEAD","SÉBASTOLOBE À COURTES ÉPINES","urn:lsid:marinespecies.org:taxname:282740","51.02",
2006,"62066","2","167123","455","ANOPLOPOMA FIMBRIA","SABLEFISH","MORUE CHARBONNIÈRE","urn:lsid:marinespecies.org:taxname:159463","42.80",
2006,"62066","2","167116","467","OPHIODON ELONGATUS","LINGCOD","MORUE-LINGUE","urn:lsid:marinespecies.org:taxname:240745","2.64",
2006,"62066","2","167304","519","MALACOCOTTUS KINCAIDI","BLACKFIN SCULPIN","CHABOT À NAGEOIRES NOIRES","urn:lsid:marinespecies.org:taxname:279442",".40","11"
2006,"62066","2","172862","602","ATHERESTHES STOMIAS","ARROWTOOTH FLOUNDER","PLIE À GRANDE BOUCHE","urn:lsid:marinespecies.org:taxname:279792","37.54",
2006,"62066","2","172978","610","GLYPTOCEPHALUS ZACHIRUS","REX SOLE","PLIE ROYALE","urn:lsid:marinespecies.org:taxname:274287","1.30","5"
2006,"62066","2","172932","614","HIPPOGLOSSUS STENOLEPIS","PACIFIC HALIBUT","FLÉTAN DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:274290","7.04",
2006,"62066","2","172871","625","LYOPSETTA EXILIS","SLENDER SOLE","PLIE MINCE","urn:lsid:marinespecies.org:taxname:281452","2.05","3"
2006,"62066","2","172887","626","MICROSTOMUS PACIFICUS","DOVER SOLE","LIMANDE-SOLE","urn:lsid:marinespecies.org:taxname:274294","2.40",
2006,"62066","2","93294","OAA","AMPHIPODA","AMPHIPODS","AMPHIPODES","urn:lsid:marinespecies.org:taxname:1135",,"1"
2006,"62066","6","160851","059","RAJA RHINA","LONGNOSE SKATE","POCHETEAU LONG-NEZ","urn:lsid:marinespecies.org:taxname:271581","8.00","1"
2006,"62066","6","161015","066","HYDROLAGUS COLLIEI","SPOTTED RATFISH","CHIMÈRE D’AMÉRIQUE","urn:lsid:marinespecies.org:taxname:271406","1.08","7"
2006,"62066","6","164711","222","GADUS MACROCEPHALUS","PACIFIC COD","MORUE DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:254538","17.50","4"
2006,"62066","6","934083","228","GADUS CHALCOGRAMMUS","WALLEYE POLLOCK","GOBERGE DE L’ALASKA","urn:lsid:marinespecies.org:taxname:300735","5.79",
2006,"62066","6","47528","2Q0","DEMOSPONGIAE","BATH SPONGES",,"urn:lsid:marinespecies.org:taxname:164811",".10",
2006,"62066","6","166707","396","SEBASTES ALUTUS","PACIFIC OCEAN PERCH","SÉBASTE À LONGUE MÂCHOIRE","urn:lsid:marinespecies.org:taxname:254573","26.24",
2006,"62066","6","52305","3T0","PRIMNOA","PRIMNOA",,"urn:lsid:marinespecies.org:taxname:125321",,
2006,"62066","6","166710","401","SEBASTES BABCOCKI","REDBANDED ROCKFISH","SÉBASTE À BANDES ROUGES","urn:lsid:marinespecies.org:taxname:274775","2.84",
2006,"62066","6","166711","405","SEBASTES BREVISPINIS","SILVERGRAY ROCKFISH","SÉBASTE ARGENTÉ","urn:lsid:marinespecies.org:taxname:274778","22.42",
2006,"62066","6","166723","421","SEBASTES HELVOMACULATUS","ROSETHORN ROCKFISH","SÉBASTE ROSACÉ","urn:lsid:marinespecies.org:taxname:274799","9.30",
2006,"62066","6","166733","435","SEBASTES PAUCISPINIS","BOCACCIO","BOCACCIO","urn:lsid:marinespecies.org:taxname:274833","5.70","2"
2006,"62066","6","166736","439","SEBASTES PRORIGER","REDSTRIPE ROCKFISH","SÉBASTE À RAIE ROUGE","urn:lsid:marinespecies.org:taxname:274838","6.36",
2006,"62066","6","166744","450","SEBASTES ZACENTRUS","SHARPCHIN ROCKFISH","SÉBASTE À MENTON POINTU","urn:lsid:marinespecies.org:taxname:274869","26.90",
2006,"62066","6","166783","451","SEBASTOLOBUS ALASCANUS","SHORTSPINE THORNYHEAD","SÉBASTOLOBE À COURTES ÉPINES","urn:lsid:marinespecies.org:taxname:282740","57.00",
2006,"62066","6","78206","51F","DORIDIDAE","DORIDIDAE",,"urn:lsid:marinespecies.org:taxname:9904",,
2006,"62066","6","172862","602","ATHERESTHES STOMIAS","ARROWTOOTH FLOUNDER","PLIE À GRANDE BOUCHE","urn:lsid:marinespecies.org:taxname:279792","4.28",
2006,"62066","6","172871","625","LYOPSETTA EXILIS","SLENDER SOLE","PLIE MINCE","urn:lsid:marinespecies.org:taxname:281452",".10","1"
2006,"62066","6","172887","626","MICROSTOMUS PACIFICUS","DOVER SOLE","LIMANDE-SOLE","urn:lsid:marinespecies.org:taxname:274294",".16",
2006,"62066","6","172921","628","PAROPHRYS VETULUS","ENGLISH SOLE","CARLOTTIN ANGLAIS","urn:lsid:marinespecies.org:taxname:254393",".36",
2006,"62066","6","157967","6AF","ALLOCENTROTUS FRAGILIS","FRAGILE URCHIN",,"urn:lsid:marinespecies.org:taxname:513096",,
2006,"62066","6","93294","OAA","AMPHIPODA","AMPHIPODS","AMPHIPODES","urn:lsid:marinespecies.org:taxname:1135",,
2006,"62066","6","96981","SCJ","PANDALUS HYPSINOTUS","HUMPBACK SHRIMP","CREVETTE À FRONT RAYÉ","urn:lsid:marinespecies.org:taxname:515467",,"1"
2006,"62066","6","96979","SDF","PANDALUS PLATYCEROS","PRAWN","CREVETTE TACHETÉE","urn:lsid:marinespecies.org:taxname:423632",,
2006,"62066","7","159988","038","APRISTURUS BRUNNEUS","BROWN CAT SHARK","HOLBICHE BRUNE","urn:lsid:marinespecies.org:taxname:158512",".61","2"
2006,"62066","7","164673","220","ANTIMORA MICROLEPIS","PACIFIC FLATNOSE","ANTIMORE À PETITES ÉCAILLES","urn:lsid:marinespecies.org:taxname:272460","1.71","5"
2006,"62066","7","164792","225","MERLUCCIUS PRODUCTUS","PACIFIC HAKE","MERLU DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:272458","20.30",
2006,"62066","7","166108","264","POROMITRA CRASSICEPS","CRESTED BIGSCALE","HEAUME À CRÊTE","urn:lsid:marinespecies.org:taxname:127273",,
2006,"62066","7","166706","394","SEBASTES ALEUTIANUS/MELANOSTICTUS COMPLEX","ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX","SÉBASTE","urn:lsid:marinespecies.org:taxname:126175","127.26",
2006,"62066","7","52485","3L0","ACTINIARIA","ANEMONE",,"urn:lsid:marinespecies.org:taxname:1360",,
2006,"62066","7","52629","3N2","STOMPHIA","STOMPHIA",,"urn:lsid:marinespecies.org:taxname:100716",,
2006,"62066","7","166783","451","SEBASTOLOBUS ALASCANUS","SHORTSPINE THORNYHEAD","SÉBASTOLOBE À COURTES ÉPINES","urn:lsid:marinespecies.org:taxname:282740","59.36",
2006,"62066","7","167123","455","ANOPLOPOMA FIMBRIA","SABLEFISH","MORUE CHARBONNIÈRE","urn:lsid:marinespecies.org:taxname:159463","1079.82",
2006,"62066","7","158541","4AB","CRINOIDEA","SEA LILIES AND FEATHER STARS","CRINOÏDES","urn:lsid:marinespecies.org:taxname:123081",,
2006,"62066","7","172862","602","ATHERESTHES STOMIAS","ARROWTOOTH FLOUNDER","PLIE À GRANDE BOUCHE","urn:lsid:marinespecies.org:taxname:279792","110.86",
2006,"62066","7","172978","610","GLYPTOCEPHALUS ZACHIRUS","REX SOLE","PLIE ROYALE","urn:lsid:marinespecies.org:taxname:274287","3.24",
2006,"62066","7","172871","625","LYOPSETTA EXILIS","SLENDER SOLE","PLIE MINCE","urn:lsid:marinespecies.org:taxname:281452",,
2006,"62066","7","172887","626","MICROSTOMUS PACIFICUS","DOVER SOLE","LIMANDE-SOLE","urn:lsid:marinespecies.org:taxname:274294","48.40",
2006,"62066","7","93294","OAA","AMPHIPODA","AMPHIPODS","AMPHIPODES","urn:lsid:marinespecies.org:taxname:1135",,
2006,"62066","7","96981","SCJ","PANDALUS HYPSINOTUS","HUMPBACK SHRIMP","CREVETTE À FRONT RAYÉ","urn:lsid:marinespecies.org:taxname:515467",,
2006,"62066","9","161015","066","HYDROLAGUS COLLIEI","SPOTTED RATFISH","CHIMÈRE D’AMÉRIQUE","urn:lsid:marinespecies.org:taxname:271406","3.14",
2006,"62066","9","164711","222","GADUS MACROCEPHALUS","PACIFIC COD","MORUE DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:254538","7.14","1"
2006,"62066","9","934083","228","GADUS CHALCOGRAMMUS","WALLEYE POLLOCK","GOBERGE DE L’ALASKA","urn:lsid:marinespecies.org:taxname:300735","10.90",
2006,"62066","9","630999","245","LYCODES PACIFICUS","BLACKBELLY EELPOUT","LYCODE À VENTRE NOIR","urn:lsid:marinespecies.org:taxname:274116",".15","4"
2006,"62066","9","47528","2Q0","DEMOSPONGIAE","BATH SPONGES",,"urn:lsid:marinespecies.org:taxname:164811",,"1"
2006,"62066","9","166707","396","SEBASTES ALUTUS","PACIFIC OCEAN PERCH","SÉBASTE À LONGUE MÂCHOIRE","urn:lsid:marinespecies.org:taxname:254573","277.22",
2006,"62066","9","51483","3G0","SCYPHOZOA","JELLYFISH","MÉDUSES","urn:lsid:marinespecies.org:taxname:135220",".20","1"
2006,"62066","9","166710","401","SEBASTES BABCOCKI","REDBANDED ROCKFISH","SÉBASTE À BANDES ROUGES","urn:lsid:marinespecies.org:taxname:274775","2.26",
2006,"62066","9","166711","405","SEBASTES BREVISPINIS","SILVERGRAY ROCKFISH","SÉBASTE ARGENTÉ","urn:lsid:marinespecies.org:taxname:274778","68.24",
2006,"62066","9","166716","412","SEBASTES DIPLOPROA","SPLITNOSE ROCKFISH","GUEULE-DE-LOUP","urn:lsid:marinespecies.org:taxname:274787",".26","4"
2006,"62066","9","166717","414","SEBASTES ELONGATUS","GREENSTRIPED ROCKFISH","SÉBASTE À RAYURES VERTES","urn:lsid:marinespecies.org:taxname:274788","1.30",
2006,"62066","9","166720","418","SEBASTES FLAVIDUS","YELLOWTAIL ROCKFISH","SÉBASTE À QUEUE JAUNE","urn:lsid:marinespecies.org:taxname:274795","4.14","2"
2006,"62066","9","166723","421","SEBASTES HELVOMACULATUS","ROSETHORN ROCKFISH","SÉBASTE ROSACÉ","urn:lsid:marinespecies.org:taxname:274799","2.50","2"
2006,"62066","9","166744","450","SEBASTES ZACENTRUS","SHARPCHIN ROCKFISH","SÉBASTE À MENTON POINTU","urn:lsid:marinespecies.org:taxname:274869","40.45",
2006,"62066","9","166783","451","SEBASTOLOBUS ALASCANUS","SHORTSPINE THORNYHEAD","SÉBASTOLOBE À COURTES ÉPINES","urn:lsid:marinespecies.org:taxname:282740","30.06",
2006,"62066","9","167116","467","OPHIODON ELONGATUS","LINGCOD","MORUE-LINGUE","urn:lsid:marinespecies.org:taxname:240745","4.24","1"
2006,"62066","9","167293","510","ICELINUS FILAMENTOSUS","THREADFIN SCULPIN","ICÉLINE FILAMENTEUSE","urn:lsid:marinespecies.org:taxname:281136",,"1"
2006,"62066","9","167304","519","MALACOCOTTUS KINCAIDI","BLACKFIN SCULPIN","CHABOT À NAGEOIRES NOIRES","urn:lsid:marinespecies.org:taxname:279442",,"3"
2006,"62066","9","172862","602","ATHERESTHES STOMIAS","ARROWTOOTH FLOUNDER","PLIE À GRANDE BOUCHE","urn:lsid:marinespecies.org:taxname:279792","43.88",
2006,"62066","9","172978","610","GLYPTOCEPHALUS ZACHIRUS","REX SOLE","PLIE ROYALE","urn:lsid:marinespecies.org:taxname:274287","4.64",
2006,"62066","9","172871","625","LYOPSETTA EXILIS","SLENDER SOLE","PLIE MINCE","urn:lsid:marinespecies.org:taxname:281452","1.90",
2006,"62066","9","172887","626","MICROSTOMUS PACIFICUS","DOVER SOLE","LIMANDE-SOLE","urn:lsid:marinespecies.org:taxname:274294","1.52",
2006,"62066","9","172921","628","PAROPHRYS VETULUS","ENGLISH SOLE","CARLOTTIN ANGLAIS","urn:lsid:marinespecies.org:taxname:254393",".50","1"
2006,"62066","9","157967","6AF","ALLOCENTROTUS FRAGILIS","FRAGILE URCHIN",,"urn:lsid:marinespecies.org:taxname:513096",".50",
2006,"62066","12","160617","044","SQUALUS SUCKLEYI","NORTH PACIFIC SPINY DOGFISH","AIGUILLAT DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:299224","2.16",
2006,"62066","12","160851","059","RAJA RHINA","LONGNOSE SKATE","POCHETEAU LONG-NEZ","urn:lsid:marinespecies.org:taxname:271581","11.90","2"
2006,"62066","12","161015","066","HYDROLAGUS COLLIEI","SPOTTED RATFISH","CHIMÈRE D’AMÉRIQUE","urn:lsid:marinespecies.org:taxname:271406","2.20",
2006,"62066","12","164711","222","GADUS MACROCEPHALUS","PACIFIC COD","MORUE DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:254538","3.72","3"
2006,"62066","12","934083","228","GADUS CHALCOGRAMMUS","WALLEYE POLLOCK","GOBERGE DE L’ALASKA","urn:lsid:marinespecies.org:taxname:300735","7.54",
2006,"62066","12","170945","317","BATHYMASTERIDAE","RONQUILS","RONQUILLES","urn:lsid:marinespecies.org:taxname:151388",,
2006,"62066","12","166707","396","SEBASTES ALUTUS","PACIFIC OCEAN PERCH","SÉBASTE À LONGUE MÂCHOIRE","urn:lsid:marinespecies.org:taxname:254573","14.04",
2006,"62066","12","51483","3G0","SCYPHOZOA","JELLYFISH","MÉDUSES","urn:lsid:marinespecies.org:taxname:135220",,
2006,"62066","12","166710","401","SEBASTES BABCOCKI","REDBANDED ROCKFISH","SÉBASTE À BANDES ROUGES","urn:lsid:marinespecies.org:taxname:274775","2.26",
2006,"62066","12","166705","402","SEBASTES","ROCKFISHES","SÉBASTE","urn:lsid:marinespecies.org:taxname:126175",,
2006,"62066","12","166711","405","SEBASTES BREVISPINIS","SILVERGRAY ROCKFISH","SÉBASTE ARGENTÉ","urn:lsid:marinespecies.org:taxname:274778","175.22",
2006,"62066","12","166716","412","SEBASTES DIPLOPROA","SPLITNOSE ROCKFISH","GUEULE-DE-LOUP","urn:lsid:marinespecies.org:taxname:274787",".20","6"
2006,"62066","12","166717","414","SEBASTES ELONGATUS","GREENSTRIPED ROCKFISH","SÉBASTE À RAYURES VERTES","urn:lsid:marinespecies.org:taxname:274788","7.98",
2006,"62066","12","166723","421","SEBASTES HELVOMACULATUS","ROSETHORN ROCKFISH","SÉBASTE ROSACÉ","urn:lsid:marinespecies.org:taxname:274799","13.12",
2006,"62066","12","166733","435","SEBASTES PAUCISPINIS","BOCACCIO","BOCACCIO","urn:lsid:marinespecies.org:taxname:274833","3.20","1"
2006,"62066","12","166736","439","SEBASTES PRORIGER","REDSTRIPE ROCKFISH","SÉBASTE À RAIE ROUGE","urn:lsid:marinespecies.org:taxname:274838","132.74",
2006,"62066","12","166742","446","SEBASTES VARIEGATUS","HARLEQUIN ROCKFISH","SÉBASTE ARLEQUIN","urn:lsid:marinespecies.org:taxname:274863",".36","4"
2006,"62066","12","166743","448","SEBASTES WILSONI","PYGMY ROCKFISH","SÉBASTE PYGMÉE","urn:lsid:marinespecies.org:taxname:274868",,
2006,"62066","12","166744","450","SEBASTES ZACENTRUS","SHARPCHIN ROCKFISH","SÉBASTE À MENTON POINTU","urn:lsid:marinespecies.org:taxname:274869","9.44",
2006,"62066","12","166783","451","SEBASTOLOBUS ALASCANUS","SHORTSPINE THORNYHEAD","SÉBASTOLOBE À COURTES ÉPINES","urn:lsid:marinespecies.org:taxname:282740","6.04",
2006,"62066","12","167304","519","MALACOCOTTUS KINCAIDI","BLACKFIN SCULPIN","CHABOT À NAGEOIRES NOIRES","urn:lsid:marinespecies.org:taxname:279442",".16",
2006,"62066","12","692068","540","SCORPAENICHTHYS MARMORATUS","CABEZON","CHABOT MARBRÉ","urn:lsid:marinespecies.org:taxname:282726","8.16",
2006,"62066","12","167450","556","BATHYAGONUS PENTACANTHUS","BIGEYE POACHER","ASTÉROTHÈQUE À CINQ ÉPINES","urn:lsid:marinespecies.org:taxname:254506",,
2006,"62066","12","167445","557","BATHYAGONUS NIGRIPINNIS","BLACKFIN POACHER","ASTÉROTHÈQUE À NAGEOIRES NOIRES","urn:lsid:marinespecies.org:taxname:254505",,
2006,"62066","12","172862","602","ATHERESTHES STOMIAS","ARROWTOOTH FLOUNDER","PLIE À GRANDE BOUCHE","urn:lsid:marinespecies.org:taxname:279792","30.30",
2006,"62066","12","172978","610","GLYPTOCEPHALUS ZACHIRUS","REX SOLE","PLIE ROYALE","urn:lsid:marinespecies.org:taxname:274287","8.54",
2006,"62066","12","172871","625","LYOPSETTA EXILIS","SLENDER SOLE","PLIE MINCE","urn:lsid:marinespecies.org:taxname:281452","1.50",
2006,"62066","12","172887","626","MICROSTOMUS PACIFICUS","DOVER SOLE","LIMANDE-SOLE","urn:lsid:marinespecies.org:taxname:274294","3.04",
2006,"62066","12","157967","6AF","ALLOCENTROTUS FRAGILIS","FRAGILE URCHIN",,"urn:lsid:marinespecies.org:taxname:513096",,
2006,"62066","12","93294","OAA","AMPHIPODA","AMPHIPODS","AMPHIPODES","urn:lsid:marinespecies.org:taxname:1135",,
2006,"62066","12","96970","SDB","PANDALUS JORDANI","PINK SHRIMP (SMOOTH)","CREVETTE OCÉANIQUE","urn:lsid:marinespecies.org:taxname:515469",,
2006,"62066","12","96979","SDF","PANDALUS PLATYCEROS","PRAWN","CREVETTE TACHETÉE","urn:lsid:marinespecies.org:taxname:423632",".90",
2006,"62066","12","97966","VSA","MUNIDA QUADRISPINA","SQUAT LOBSTER","GALATHÉE À QUATRE ÉPINES","urn:lsid:marinespecies.org:taxname:392422",,
2006,"62066","14","161015","066","HYDROLAGUS COLLIEI","SPOTTED RATFISH","CHIMÈRE D’AMÉRIQUE","urn:lsid:marinespecies.org:taxname:271406",".26",
2006,"62066","14","161976","112","ONCORHYNCHUS KETA","CHUM SALMON","SAUMON KÉTA","urn:lsid:marinespecies.org:taxname:127183","7.70","1"
2006,"62066","14","162584","189","DIAPHUS THETA","CALIFORNIA HEADLIGHTFISH","LAMPE-DE-TÊTE À TACHES BLANCHES","urn:lsid:marinespecies.org:taxname:272694",,"1"
2006,"62066","14","164711","222","GADUS MACROCEPHALUS","PACIFIC COD","MORUE DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:254538","1.80","1"
2006,"62066","14","934083","228","GADUS CHALCOGRAMMUS","WALLEYE POLLOCK","GOBERGE DE L’ALASKA","urn:lsid:marinespecies.org:taxname:300735","9.50",
2006,"62066","14","550588","233","LYCODES CORTEZIANUS","BIGFIN EELPOUT","LYCODE À GRANDES NAGEOIRES","urn:lsid:marinespecies.org:taxname:274097","1.08",
2006,"62066","14","165609","259","COLOLABIS SAIRA","PACIFIC SAURY","BALAOU JAPONAIS","urn:lsid:marinespecies.org:taxname:280366",".10",
2006,"62066","14","166707","396","SEBASTES ALUTUS","PACIFIC OCEAN PERCH","SÉBASTE À LONGUE MÂCHOIRE","urn:lsid:marinespecies.org:taxname:254573","162.38",
2006,"62066","14","166709","400","SEBASTES AURORA","AURORA ROCKFISH","SÉBASTE AURORE","urn:lsid:marinespecies.org:taxname:274774",".64","1"
2006,"62066","14","166710","401","SEBASTES BABCOCKI","REDBANDED ROCKFISH","SÉBASTE À BANDES ROUGES","urn:lsid:marinespecies.org:taxname:274775","30.76",
2006,"62066","14","166705","402","SEBASTES","ROCKFISHES","SÉBASTE","urn:lsid:marinespecies.org:taxname:126175",,
2006,"62066","14","166711","405","SEBASTES BREVISPINIS","SILVERGRAY ROCKFISH","SÉBASTE ARGENTÉ","urn:lsid:marinespecies.org:taxname:274778","50.30",
