"","prop_positive","prop_zero","prop_no_lengths","total_n_hauls","region","species"
"64",0.028934135685434,0.971065864314566,0.97469293545462,12131,"GOA","pacific hake"
"65",0,1,1,572,"NBS","pacific hake"
"66",0.321951219512195,0.678048780487805,0.0492682926829268,2050,"NWFSC.Combo","pacific hake"
"67",0.0944364277697611,0.905563572230239,0.0598043931377265,6237,"BC","widow rockfish"
"68",0,1,1,14465,"EBS","widow rockfish"
"69",0.00346220427005193,0.996537795729948,0.997197263209958,12131,"GOA","widow rockfish"
"70",0,1,1,572,"NBS","widow rockfish"
"71",0.0406199893105291,0.959380010689471,0.00106894708711919,1871,"NWFSC.Combo","widow rockfish"
"72",0.0901074234407568,0.909892576559243,0.0017636684303351,6237,"BC","yelloweye rockfish"
"73",0,1,1,14465,"EBS","yelloweye rockfish"
"74",0.0264611326353969,0.973538867364603,0.981782210864727,12131,"GOA","yelloweye rockfish"
"75",0,1,1,572,"NBS","yelloweye rockfish"
"76",0.0571886691608765,0.942811330839123,0,1871,"NWFSC.Combo","yelloweye rockfish"
"77",0.0956884116044238,0.904311588395576,0.0245231607629428,6239,"BC","quillback rockfish"
"78",0,1,1,14465,"EBS","quillback rockfish"
"79",0.00906767785013602,0.990932322149864,0.992910724589894,12131,"GOA","quillback rockfish"
"80",0,1,1,572,"NBS","quillback rockfish"
"81",0.0133618385889898,0.98663816141101,0,1871,"NWFSC.Combo","quillback rockfish"
"82",0.822218659826868,0.177781340173132,0.385059313882655,6238,"BC","rex sole"
"83",0.192118907708261,0.807881092291739,0.88710680954027,14465,"EBS","rex sole"
"84",0.660126947489902,0.339873052510098,0.561289258923419,12131,"GOA","rex sole"
"85",0,1,1,572,"NBS","rex sole"
"86",0.717797969000534,0.282202030999466,0.0336718332442544,1871,"NWFSC.Combo","rex sole"
"87",0.331409331409331,0.668590668590669,0.188872855539522,6237,"BC","flathead sole"
"88",0.765917732457656,0.234082267542344,0.571724853093674,14465,"EBS","flathead sole"
"89",0.545049872228176,0.454950127771824,0.639271288434589,12131,"GOA","flathead sole"
"90",0.0332167832167832,0.966783216783217,0.968531468531469,572,"NBS","flathead sole"
"91",0.279529663281668,0.720470336718332,0.00267236771779797,1871,"NWFSC.Combo","flathead sole"
"92",0.443305573350416,0.556694426649584,0.208199871877002,6244,"BC","english sole"
"93",0.000207397165572071,0.999792602834428,0.999792602834428,14465,"EBS","english sole"
"94",0.0886159426263292,0.911384057373671,0.932899183908994,12131,"GOA","english sole"
"95",0,1,1,572,"NBS","english sole"
"96",0.506146445750935,0.493853554249065,0.00374131480491716,1871,"NWFSC.Combo","english sole"
"97",0.226923076923077,0.773076923076923,0.0600961538461538,6240,"BC","southern rock sole"
"98",0.00400967853439336,0.995990321465607,0.996405115796751,14465,"EBS","southern rock sole"
"99",0.287692688154315,0.712307311845685,0.736707608606051,12131,"GOA","southern rock sole"
"100",0,1,1,572,"NBS","southern rock sole"
"101",0.00124438299343242,0.998755617006568,0.998755617006568,14465,"EBS","rougheye rockfish"
"102",0.0897700107163465,0.910229989283653,0.910559723023658,12131,"GOA","rougheye rockfish"
"103",0,1,1,572,"NBS","rougheye rockfish"
"104",0.00694815606627472,0.993051843933725,0,1871,"NWFSC.Combo","rougheye rockfish"
